date,CPI,CPI_yoy,CPI_mom,PPI,PPI_yoy,interest rate,previous interest rate,next interest rate,previous change,present change
1969-06-01,36.6,5.475504322766556,0.5494505494505475,35.7,4.385964912280693,8.9,8.67,8.61,0.2300000000000004,-0.2900000000000009
1969-07-01,36.8,5.4441260744985565,0.5464480874316724,35.8,4.37317784256559,8.61,8.9,9.19,-0.2900000000000009,0.5800000000000001
1969-08-01,36.9,5.428571428571427,0.2717391304347893,35.7,4.385964912280693,9.19,8.61,9.15,0.5800000000000001,-0.0399999999999991
1969-09-01,37.1,5.698005698005693,0.5420054200542035,35.8,4.06976744186045,9.15,9.19,9.0,-0.0399999999999991,-0.1500000000000003
1969-10-01,37.3,5.665722379603411,0.5390835579514697,35.9,4.3604651162790775,9.0,9.15,8.85,-0.1500000000000003,-0.1500000000000003
1969-11-01,37.5,5.932203389830515,0.536193029490617,36.1,4.637681159420293,8.85,9.0,8.97,-0.1500000000000003,0.120000000000001
1969-12-01,37.7,5.89887640449438,0.5333333333333412,36.3,4.9132947976878505,8.97,8.85,8.98,0.120000000000001,0.0099999999999997
1970-01-01,37.9,6.162464985994376,0.5305039787798282,36.5,4.885057471264376,8.98,8.97,8.98,0.0099999999999997,0.0
1970-02-01,38.1,6.424581005586605,0.5277044854881341,36.7,4.857142857142871,8.98,8.98,7.76,0.0,-1.2200000000000006
1970-03-01,38.3,6.094182825484751,0.5249343832020914,36.7,4.261363636363647,7.76,8.98,8.1,-1.2200000000000006,0.3399999999999998
1970-04-01,38.5,6.060606060606077,0.5221932114882533,36.8,4.249291784702547,8.1,7.76,7.95,0.3399999999999998,-0.1499999999999994
1970-05-01,38.6,6.043956043956045,0.2597402597402709,36.8,3.661971830985911,7.95,8.1,7.61,-0.1499999999999994,-0.3399999999999998
1970-06-01,38.8,6.010928961748618,0.5181347150258864,36.9,3.361344537815114,7.61,7.95,7.21,-0.3399999999999998,-0.4000000000000003
1970-07-01,38.9,5.706521739130444,0.2577319587628857,37.1,3.631284916201128,7.21,7.61,6.62,-0.4000000000000003,-0.5899999999999999
1970-08-01,39.0,5.691056910569103,0.2570694087403735,36.9,3.361344537815114,6.62,7.21,6.29,-0.5899999999999999,-0.33
1970-09-01,39.2,5.660377358490565,0.512820512820511,37.1,3.631284916201128,6.29,6.62,6.2,-0.33,-0.0899999999999998
1970-10-01,39.4,5.630026809651478,0.5102040816326481,37.1,3.3426183844011303,6.2,6.29,5.6,-0.0899999999999998,-0.6000000000000005
1970-11-01,39.6,5.600000000000005,0.5076142131979822,37.1,2.7700831024930705,5.6,6.2,4.9,-0.6000000000000005,-0.6999999999999993
1970-12-01,39.8,5.570291777188308,0.5050505050504972,37.1,2.203856749311317,4.9,5.6,4.14,-0.6999999999999993,-0.7600000000000007
1971-01-01,39.9,5.277044854881274,0.2512562814070307,37.3,2.191780821917799,4.14,4.9,3.72,-0.7600000000000007,-0.4199999999999995
1971-02-01,39.9,4.724409448818889,0.0,37.7,2.724795640326972,3.72,4.14,3.71,-0.4199999999999995,-0.0100000000000002
1971-03-01,40.0,4.438642297650142,0.2506265664160345,37.8,2.9972752043596618,3.71,3.72,4.16,-0.0100000000000002,0.4500000000000002
1971-04-01,40.1,4.155844155844157,0.2499999999999946,37.9,2.9891304347826164,4.16,3.71,4.63,0.4500000000000002,0.4699999999999997
1971-05-01,40.3,4.404145077720201,0.4987531172069737,38.1,3.532608695652195,4.63,4.16,4.91,0.4699999999999997,0.2800000000000002
1971-06-01,40.5,4.381443298969079,0.496277915632759,38.2,3.523035230352312,4.91,4.63,5.31,0.2800000000000002,0.3999999999999994
1971-07-01,40.6,4.370179948586128,0.2469135802469102,38.3,3.2345013477088846,5.31,4.91,5.57,0.3999999999999994,0.2600000000000007
1971-08-01,40.7,4.358974358974366,0.246305418719217,38.5,4.336043360433606,5.57,5.31,5.55,0.2600000000000007,-0.0200000000000004
1971-09-01,40.8,4.081632653061207,0.245700245700231,38.3,3.2345013477088846,5.55,5.57,5.2,-0.0200000000000004,-0.3499999999999996
1971-10-01,40.9,3.8071065989847774,0.2450980392156854,38.3,3.2345013477088846,5.2,5.55,4.91,-0.3499999999999996,-0.29
1971-11-01,41.0,3.535353535353525,0.2444987775061191,38.3,3.2345013477088846,4.91,5.2,4.14,-0.29,-0.7700000000000005
1971-12-01,41.1,3.266331658291466,0.2439024390243904,38.6,4.043126684636111,4.14,4.91,3.51,-0.7700000000000005,-0.6299999999999999
1972-01-01,41.2,3.2581453634085378,0.2433090024331008,38.8,4.021447721179627,3.51,4.14,3.3,-0.6299999999999999,-0.2099999999999999
1972-02-01,41.4,3.759398496240607,0.4854368932038833,39.2,3.9787798408488007,3.3,3.51,3.83,-0.2099999999999999,0.5300000000000002
1972-03-01,41.4,3.499999999999992,0.0,39.2,3.70370370370372,3.83,3.3,4.17,0.5300000000000002,0.3399999999999998
1972-04-01,41.5,3.4912718204488824,0.2415458937198078,39.3,3.693931398416872,4.17,3.83,4.27,0.3399999999999998,0.0999999999999996
1972-05-01,41.6,3.2258064516129226,0.2409638554216941,39.5,3.674540682414684,4.27,4.17,4.46,0.0999999999999996,0.1900000000000004
1972-06-01,41.7,2.9629629629629672,0.2403846153846256,39.7,3.926701570680624,4.46,4.27,4.55,0.1900000000000004,0.0899999999999998
1972-07-01,41.8,2.9556650246305383,0.2398081534771945,40.0,4.438642297650142,4.55,4.46,4.81,0.0899999999999998,0.2599999999999998
1972-08-01,41.9,2.9484029484029284,0.2392344497607723,40.1,4.155844155844157,4.81,4.55,4.87,0.2599999999999998,0.0600000000000005
1972-09-01,42.1,3.1862745098039325,0.4773269689737569,40.2,4.960835509138395,4.87,4.81,5.05,0.0600000000000005,0.1799999999999997
1972-10-01,42.2,3.1784841075794823,0.2375296912114022,40.1,4.699738903394257,5.05,4.87,5.06,0.1799999999999997,0.0099999999999997
1972-11-01,42.4,3.4146341463414664,0.4739336492890933,40.3,5.22193211488251,5.06,5.05,5.33,0.0099999999999997,0.2700000000000004
1972-12-01,42.5,3.406326034063256,0.2358490566037874,41.1,6.476683937823835,5.33,5.06,5.94,0.2700000000000004,0.6100000000000003
1973-01-01,42.7,3.640776699029136,0.4705882352941337,41.6,7.2164948453608435,5.94,5.33,6.58,0.6100000000000003,0.6399999999999997
1973-02-01,43.0,3.864734299516903,0.7025761124121788,42.4,8.163265306122437,6.58,5.94,7.09,0.6399999999999997,0.5099999999999998
1973-03-01,43.4,4.830917874396135,0.930232558139532,43.4,10.714285714285698,7.09,6.58,7.12,0.5099999999999998,0.0300000000000002
1973-04-01,43.7,5.301204819277117,0.691244239631339,43.6,10.941475826972024,7.12,7.09,7.84,0.0300000000000002,0.7199999999999998
1973-05-01,43.9,5.528846153846145,0.4576659038901587,44.5,12.658227848101266,7.84,7.12,8.49,0.7199999999999998,0.6500000000000004
1973-06-01,44.2,5.995203836930463,0.6833712984054774,45.5,14.609571788413088,8.49,7.84,10.4,0.6500000000000004,1.91
1973-07-01,44.2,5.741626794258381,0.0,44.9,12.250000000000004,10.4,8.49,10.5,1.91,0.0999999999999996
1973-08-01,45.0,7.398568019093088,1.8099547511312155,47.5,18.45386533665836,10.5,10.4,10.78,0.0999999999999996,0.2799999999999993
1973-09-01,45.2,7.3634204275534465,0.4444444444444473,46.7,16.16915422885572,10.78,10.5,10.01,0.2799999999999993,-0.7699999999999996
1973-10-01,45.6,8.056872037914697,0.8849557522123908,46.3,15.46134663341645,10.01,10.78,10.03,-0.7699999999999996,0.0199999999999995
1973-11-01,45.9,8.25471698113207,0.6578947368421018,46.5,15.384615384615396,10.03,10.01,9.95,0.0199999999999995,-0.08
1973-12-01,46.3,8.94117647058823,0.8714596949890963,47.4,15.328467153284665,9.95,10.03,9.65,-0.08,-0.2999999999999989
1974-01-01,46.8,9.601873536299754,1.0799136069114423,49.0,17.78846153846154,9.65,9.95,8.97,-0.2999999999999989,-0.6799999999999997
1974-02-01,47.3,9.999999999999986,1.0683760683760646,50.0,17.9245283018868,8.97,9.65,9.35,-0.6799999999999997,0.379999999999999
1974-03-01,47.8,10.138248847926269,1.0570824524312794,50.6,16.589861751152092,9.35,8.97,10.51,0.379999999999999,1.16
1974-04-01,48.1,10.068649885583516,0.6276150627615218,51.0,16.972477064220183,10.51,9.35,11.31,1.16,0.8000000000000007
1974-05-01,48.6,10.70615034168565,1.039501039501034,51.8,16.40449438202247,11.31,10.51,11.93,0.8000000000000007,0.6199999999999992
1974-06-01,49.0,10.859728506787311,0.8230452674897082,52.0,14.28571428571428,11.93,11.31,12.92,0.6199999999999992,0.9900000000000002
1974-07-01,49.3,11.53846153846152,0.6122448979591688,54.0,20.267260579064583,12.92,11.93,12.01,0.9900000000000002,-0.91
1974-08-01,49.9,10.888888888888882,1.2170385395537495,55.9,17.68421052631579,12.01,12.92,11.34,-0.91,-0.6699999999999999
1974-09-01,50.6,11.94690265486724,1.4028056112224574,55.9,19.700214132762305,11.34,12.01,10.06,-0.6699999999999999,-1.2799999999999994
1974-10-01,51.0,11.842105263157896,0.7905138339920903,56.9,22.89416846652268,10.06,11.34,9.45,-1.2799999999999994,-0.6100000000000012
1974-11-01,51.5,12.200435729847502,0.9803921568627416,57.4,23.44086021505376,9.45,10.06,8.53,-0.6100000000000012,-0.92
1974-12-01,51.9,12.095032397408213,0.7766990291262044,57.3,20.88607594936709,8.53,9.45,7.13,-0.92,-1.3999999999999997
1975-01-01,52.3,11.752136752136757,0.7707129094412402,57.4,17.14285714285715,7.13,8.53,6.24,-1.3999999999999997,-0.8899999999999997
1975-02-01,52.6,11.205073995771686,0.5736137667304186,57.2,14.400000000000013,6.24,7.13,5.54,-0.8899999999999997,-0.7000000000000002
1975-03-01,52.8,10.460251046025103,0.3802281368821214,56.9,12.450592885375489,5.54,6.24,5.49,-0.7000000000000002,-0.0499999999999998
1975-04-01,53.0,10.187110187110182,0.3787878787878895,57.5,12.745098039215684,5.49,5.54,5.22,-0.0499999999999998,-0.2700000000000004
1975-05-01,53.1,9.259259259259256,0.1886792452830299,57.9,11.776061776061786,5.22,5.49,5.55,-0.2700000000000004,0.33
1975-06-01,53.5,9.183673469387754,0.7532956685499137,58.0,11.538461538461542,5.55,5.22,6.1,0.33,0.5499999999999998
1975-07-01,54.0,9.533468559837743,0.9345794392523256,58.7,8.703703703703702,6.1,5.55,6.14,0.5499999999999998,0.04
1975-08-01,54.2,8.617234468937895,0.3703703703703764,59.0,5.545617173524153,6.14,6.1,6.24,0.04,0.1000000000000005
1975-09-01,54.6,7.905138339920947,0.7380073800737907,59.4,6.261180679785339,6.24,6.14,5.82,0.1000000000000005,-0.4199999999999999
1975-10-01,54.9,7.647058823529407,0.5494505494505475,59.8,5.096660808435849,5.82,6.24,5.22,-0.4199999999999999,-0.6000000000000005
1975-11-01,55.3,7.37864077669903,0.7285974499089187,59.5,3.658536585365857,5.22,5.82,5.2,-0.6000000000000005,-0.0199999999999995
1975-12-01,55.6,7.129094412331405,0.5424954792043524,59.7,4.188481675392675,5.2,5.22,4.87,-0.0199999999999995,-0.33
1976-01-01,55.8,6.692160611854692,0.3597122302158251,59.9,4.355400696864109,4.87,5.2,4.77,-0.33,-0.1000000000000005
1976-02-01,55.9,6.273764258555126,0.1792114695340574,59.9,4.720279720279708,4.77,4.87,4.84,-0.1000000000000005,0.0700000000000002
1976-03-01,56.0,6.060606060606055,0.1788908765653074,60.0,5.448154657293491,4.84,4.77,4.82,0.0700000000000002,-0.0199999999999995
1976-04-01,56.1,5.849056603773595,0.1785714285714279,60.6,5.391304347826087,4.82,4.84,5.29,-0.0199999999999995,0.4699999999999997
1976-05-01,56.4,6.214689265536721,0.5347593582887722,60.8,5.008635578583753,5.29,4.82,5.48,0.4699999999999997,0.1900000000000004
1976-06-01,56.7,5.981308411214958,0.5319148936170359,61.2,5.517241379310356,5.48,5.29,5.31,0.1900000000000004,-0.1700000000000008
1976-07-01,57.0,5.555555555555558,0.5291005291005346,61.6,4.940374787052804,5.31,5.48,5.29,-0.1700000000000008,-0.0199999999999995
1976-08-01,57.3,5.719557195571956,0.5263157894736858,61.4,4.067796610169494,5.29,5.31,5.25,-0.0199999999999995,-0.04
1976-09-01,57.6,5.494505494505497,0.523560209424101,61.8,4.040404040404044,5.25,5.29,5.02,-0.04,-0.2300000000000004
1976-10-01,57.9,5.464480874316946,0.5208333333333259,61.9,3.511705685618738,5.02,5.25,4.95,-0.2300000000000004,-0.0699999999999994
1976-11-01,58.1,5.063291139240511,0.3454231433505983,62.0,4.201680672268915,4.95,5.02,4.65,-0.0699999999999994,-0.2999999999999998
1976-12-01,58.4,5.035971223021574,0.5163511187607606,62.5,4.690117252931314,4.65,4.95,4.61,-0.2999999999999998,-0.04
1977-01-01,58.7,5.197132616487465,0.5136986301369939,62.8,4.841402337228717,4.61,4.65,4.68,-0.04,0.0699999999999994
1977-02-01,59.3,6.082289803220031,1.0221465076660996,63.5,6.010016694490816,4.68,4.61,4.69,0.0699999999999994,0.0100000000000006
1977-03-01,59.6,6.428571428571428,0.5059021922428464,64.1,6.8333333333333135,4.69,4.68,4.73,0.0100000000000006,0.04
1977-04-01,60.0,6.951871657754016,0.6711409395973034,64.9,7.095709570957109,4.73,4.69,5.35,0.04,0.6199999999999992
1977-05-01,60.2,6.737588652482285,0.333333333333341,65.2,7.236842105263164,5.35,4.73,5.39,0.6199999999999992,0.04
1977-06-01,60.5,6.701940035273357,0.4983388704318914,65.0,6.209150326797386,5.39,5.35,5.42,0.04,0.0300000000000002
1977-07-01,60.8,6.666666666666665,0.4958677685950263,65.1,5.681818181818166,5.42,5.39,5.9,0.0300000000000002,0.4800000000000004
1977-08-01,61.1,6.631762652705064,0.4934210526315929,65.0,5.863192182410426,5.9,5.42,6.14,0.4800000000000004,0.2399999999999993
1977-09-01,61.3,6.423611111111094,0.3273322422258529,65.3,5.663430420711979,6.14,5.9,6.47,0.2399999999999993,0.33
1977-10-01,61.6,6.390328151986191,0.4893964110930016,65.6,5.977382875605808,6.47,6.14,6.51,0.33,0.04
1977-11-01,62.0,6.712564543889843,0.6493506493506551,65.8,6.129032258064515,6.51,6.47,6.56,0.04,0.0499999999999998
1977-12-01,62.3,6.67808219178081,0.4838709677419395,66.2,5.920000000000014,6.56,6.51,6.7,0.0499999999999998,0.1400000000000005
1978-01-01,62.7,6.814310051107331,0.6420545746388617,66.8,6.369426751592355,6.7,6.56,6.78,0.1400000000000005,0.08
1978-02-01,63.0,6.239460370994943,0.4784688995215225,67.5,6.299212598425208,6.78,6.7,6.79,0.08,0.0099999999999997
1978-03-01,63.4,6.375838926174482,0.6349206349206327,68.1,6.240249609984394,6.79,6.78,6.89,0.0099999999999997,0.0999999999999996
1978-04-01,63.9,6.499999999999995,0.7886435331230235,69.0,6.317411402157158,6.89,6.79,7.36,0.0999999999999996,0.4700000000000006
1978-05-01,64.5,7.14285714285714,0.938967136150226,69.5,6.5950920245398725,7.36,6.89,7.6,0.4700000000000006,0.2399999999999993
1978-06-01,65.0,7.438016528925617,0.7751937984496138,70.0,7.692307692307687,7.6,7.36,7.81,0.2399999999999993,0.2099999999999999
1978-07-01,65.5,7.7302631578947345,0.7692307692307665,70.4,8.141321044546878,7.81,7.6,8.04,0.2099999999999999,0.2299999999999995
1978-08-01,65.9,7.855973813420625,0.6106870229007688,70.4,8.307692307692328,8.04,7.81,8.45,0.2299999999999995,0.4100000000000001
1978-09-01,66.5,8.482871125611746,0.9104704097116834,71.0,8.72894333843799,8.45,8.04,8.96,0.4100000000000001,0.5100000000000016
1978-10-01,67.1,8.92857142857142,0.9022556390977376,71.8,9.45121951219512,8.96,8.45,9.76,0.5100000000000016,0.7999999999999989
1978-11-01,67.5,8.870967741935477,0.5961251862891315,72.1,9.57446808510638,9.76,8.96,10.03,0.7999999999999989,0.2699999999999996
1978-12-01,67.9,8.988764044943842,0.5925925925926112,72.7,9.818731117824765,10.03,9.76,10.07,0.2699999999999996,0.0400000000000009
