date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1981-01-01,87.2,11.794871794871796,0.92592592592593,85.4,11.342894393741854,0.5889281507656108,95.2,11.737089201877923,1.49253731343284,7.5,19.047619047619047,4.166666666666674,91033.0,0.2566079295154289,0.0989630867686441,50.9328,-1.946711843523796,-0.6324989757496513,99.94303,1.3841962107157268,-0.0875432117771968,10.697674418604652,19.08,18.9,15.93,0.1799999999999997,-3.1499999999999986
1981-02-01,88.0,11.392405063291132,0.917431192660545,85.9,10.838709677419356,0.5854800936768045,96.1,10.58688147295741,0.9453781512605008,7.4,17.460317460317466,-1.3333333333333308,91105.0,0.2442701055202834,0.07909219733504,50.7237,-2.385529787369156,-0.4105409480727573,99.8328,1.5687521708529273,-0.11029283382743,-6.302521008403361,15.93,19.08,14.7,-3.1499999999999986,-1.2300000000000004
1981-03-01,88.6,10.611735330836458,0.6818181818181834,86.4,9.92366412213741,0.5820721769499437,97.0,10.857142857142854,0.9365244536940764,7.4,17.460317460317466,0.0,91210.0,0.2373782886783804,0.1152516327314723,50.9806,-1.4780057744263164,0.5064693624479366,99.72244,1.7407423240008324,-0.1105448309573597,-0.5979073243647326,14.7,15.93,15.72,-1.2300000000000004,1.0200000000000014
1981-04-01,89.1,10.13597033374536,0.5643340857787837,87.0,9.433962264150942,0.694444444444442,98.0,11.617312072892938,1.0309278350515427,7.2,4.347826086956519,-2.7027027027027084,91283.0,0.4777157701240542,0.0800350838723762,50.7661,0.0914831909494706,-0.4207482846416144,99.58408,1.7572796952679104,-0.1387451009020712,8.872180451127832,15.72,14.7,18.52,1.0200000000000014,2.799999999999999
1981-05-01,89.7,9.79192166462668,0.6734006734006925,87.8,9.612983770287142,0.919540229885052,98.3,11.325028312570783,0.3061224489795844,7.5,0.0,4.166666666666674,91296.0,0.9688122096881192,0.0142414250188904,51.0552,3.190599192345478,0.5694745115342625,99.39135,1.50526826531292,-0.1935349505663985,5.386740331491691,18.52,15.72,19.1,2.799999999999999,0.5800000000000018
1981-06-01,90.5,9.696969696969692,0.8918617614269708,88.6,9.3827160493827,0.9111617312072884,98.5,11.048478015783548,0.2034587995930925,7.5,-1.3157894736842035,0.0,91490.0,1.541603311838946,0.2124956186470461,51.3214,5.08432930712166,0.5213964493332668,99.15803,0.969616767073167,-0.2347487985624452,-4.193971166448229,19.1,18.52,19.04,0.5800000000000018,-0.0600000000000022
1981-07-01,91.5,10.774818401937058,1.104972375690605,89.8,11.138613861386148,1.3544018058690763,99.0,9.63455149501662,0.50761421319796,7.2,-7.692307692307687,-3.999999999999993,91601.0,1.960151380231512,0.1213247349437063,51.6555,6.526612319475711,0.650995491159656,98.91457,0.2522863833563038,-0.2455272659208862,1.3679890560875485,19.04,19.1,17.82,-0.0600000000000022,-1.2199999999999989
1981-08-01,92.2,10.817307692307686,0.7650273224043769,90.7,11.56211562115621,1.0022271714922093,99.0,8.196721311475418,0.0,7.4,-3.8961038961038974,2.77777777777779,91565.0,1.6270990799009954,-0.0393008809947525,51.5903,6.053373789201899,-0.1262208283725918,98.66516,-0.5217244714850189,-0.2521468778563185,4.183535762483137,17.82,19.04,15.87,-1.2199999999999989,-1.950000000000001
1981-09-01,93.1,10.96543504171632,0.9761388286333884,91.8,11.814859926918398,1.2127894156560126,98.8,7.742639040348953,-0.2020202020202033,7.6,1.3333333333333195,2.7027027027026973,91477.0,1.4011284404686686,-0.096106590946321,51.3429,3.811532255781702,-0.4795475118384629,98.39061,-1.247858409637681,-0.2782643843074917,-5.310880829015552,15.87,17.82,15.08,-1.950000000000001,-0.7899999999999991
1981-10-01,93.4,10.271546635182991,0.3222341568206444,92.1,10.96385542168674,0.3267973856209138,98.9,6.573275862068972,0.1012145748988002,7.9,5.3333333333333455,3.9473684210526327,91380.0,0.9835340921648728,-0.1060375832176441,50.9463,1.7174425639049584,-0.7724534453644072,98.10247,-1.829301364448288,-0.2928531492995101,-3.830369357045138,15.08,15.87,13.31,-0.7899999999999991,-1.7699999999999996
