date,CPI,CPI_yoy,CPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1977-11-01,62.0,6.712564543889843,0.6493506493506551,65.8,6.129032258064515,0.3048780487804992,6.8,-12.82051282051282,0.0,84173.0,4.901545363908277,0.4451073985680231,6.51,6.47,6.56,0.04,0.0499999999999998
1977-12-01,62.3,6.67808219178081,0.4838709677419395,66.2,5.920000000000014,0.6079027355623268,6.4,-17.948717948717942,-5.88235294117646,84410.0,4.924920445505165,0.2815629714991718,6.56,6.51,6.7,0.0499999999999998,0.1400000000000005
1978-01-01,62.7,6.814310051107331,0.6420545746388617,66.8,6.369426751592355,0.9063444108761144,6.4,-14.66666666666666,0.0,84594.0,4.8382699219234215,0.2179836512261612,6.7,6.56,6.78,0.1400000000000005,0.08
1978-02-01,63.0,6.239460370994943,0.4784688995215225,67.5,6.299212598425208,1.0479041916167775,6.3,-17.105263157894733,-1.562500000000011,84948.0,4.889613276040894,0.4184693949925488,6.78,6.7,6.79,0.08,0.0099999999999997
1978-03-01,63.4,6.375838926174482,0.6349206349206327,68.1,6.240249609984394,0.8888888888888724,6.3,-14.864864864864868,0.0,85460.0,4.999324249609916,0.6027216650186018,6.79,6.78,6.89,0.0099999999999997,0.0999999999999996
1978-04-01,63.9,6.499999999999995,0.7886435331230235,69.0,6.317411402157158,1.3215859030837107,6.1,-15.27777777777779,-3.1746031746031744,86162.0,5.425313234142526,0.8214369295576951,6.89,6.79,7.36,0.0999999999999996,0.4700000000000006
1978-05-01,64.5,7.14285714285714,0.938967136150226,69.5,6.5950920245398725,0.7246376811594235,6.0,-14.28571428571429,-1.639344262295073,86509.0,5.385683656563689,0.4027297416494546,7.36,6.89,7.6,0.4700000000000006,0.2399999999999993
1978-06-01,65.0,7.438016528925617,0.7751937984496138,70.0,7.692307692307687,0.7194244604316502,5.9,-18.05555555555556,-1.6666666666666607,86950.0,5.409271651634184,0.5097735495728672,7.6,7.36,7.81,0.2399999999999993,0.2099999999999999
1978-07-01,65.5,7.7302631578947345,0.7692307692307665,70.4,8.141321044546878,0.5714285714285783,6.2,-10.144927536231885,5.084745762711851,87204.0,5.275611463891639,0.2921219091431837,7.81,7.6,8.04,0.2099999999999999,0.2299999999999995
1978-08-01,65.9,7.855973813420625,0.6106870229007688,70.4,8.307692307692328,0.0,5.9,-15.714285714285714,-4.838709677419351,87483.0,5.3060487511285,0.319939452318696,8.04,7.81,8.45,0.2299999999999995,0.4100000000000001
1978-09-01,66.5,8.482871125611746,0.9104704097116834,71.0,8.72894333843799,0.8522727272727293,6.0,-11.764705882352944,1.6949152542372836,87621.0,4.895130010056037,0.1577449333013181,8.45,8.04,8.96,0.4100000000000001,0.5100000000000016
1978-10-01,67.1,8.92857142857142,0.9022556390977376,71.8,9.45121951219512,1.1267605633802802,5.8,-14.70588235294118,-3.3333333333333326,87956.0,4.959427207637224,0.3823284372467705,8.96,8.45,9.76,0.5100000000000016,0.7999999999999989
1978-11-01,67.5,8.870967741935477,0.5961251862891315,72.1,9.57446808510638,0.4178272980501329,5.9,-13.235294117647056,1.7241379310344973,88391.0,5.0111080750359305,0.4945654645504671,9.76,8.96,10.03,0.7999999999999989,0.2699999999999996
1978-12-01,67.9,8.988764044943842,0.5925925925926112,72.7,9.818731117824765,0.8321775312066793,6.0,-6.25,1.6949152542372836,88671.0,5.0479800971448885,0.3167743322283867,10.03,9.76,10.07,0.2699999999999996,0.0400000000000009
1979-01-01,68.5,9.250398724082933,0.8836524300441795,73.8,10.479041916167663,1.5130674002751032,5.9,-7.8125,-1.6666666666666607,88808.0,4.981440764120393,0.1545037272614458,10.07,10.03,10.06,0.0400000000000009,-0.0099999999999997
1979-02-01,69.2,9.84126984126985,1.0218978102189746,74.9,10.962962962962974,1.4905149051490652,5.9,-6.349206349206337,0.0,89055.0,4.834722418420689,0.2781280965678867,10.06,10.07,10.09,-0.0099999999999997,0.0299999999999993
1979-03-01,69.9,10.252365930599373,1.0115606936416333,75.8,11.30690161527166,1.2016021361815676,5.8,-7.936507936507942,-1.6949152542372947,89479.0,4.702784928621573,0.4761102689349261,10.09,10.06,10.01,0.0299999999999993,-0.08
1979-04-01,70.6,10.485133020344284,1.0014306151645114,76.9,11.449275362318856,1.451187335092352,5.8,-4.91803278688524,0.0,89417.0,3.777767461293835,-0.0692900010058172,10.01,10.09,10.24,-0.08,0.2300000000000004
1979-05-01,71.4,10.697674418604652,1.1331444759207,77.5,11.51079136690647,0.7802340702210531,5.6,-6.666666666666677,-3.4482758620689724,89789.0,3.791513021766524,0.4160282720288011,10.24,10.01,10.29,0.2300000000000004,0.0499999999999989
1979-06-01,72.2,11.076923076923071,1.1204481792717047,78.0,11.428571428571432,0.6451612903225712,5.7,-3.3898305084745783,1.7857142857143016,90108.0,3.63197239792985,0.355277372506646,10.29,10.24,10.47,0.0499999999999989,0.1800000000000015
1979-07-01,73.0,11.45038167938932,1.1080332409972191,79.2,12.5,1.538461538461533,5.7,-8.064516129032262,0.0,90217.0,3.45511673776433,0.1209659519687544,10.47,10.29,10.94,0.1800000000000015,0.4699999999999988
1979-08-01,73.7,11.836115326251884,0.9589041095890538,79.6,13.06818181818179,0.5050505050504972,6.0,1.6949152542372836,5.263157894736836,90300.0,3.220054181955345,0.0920003990378726,10.94,10.47,11.43,0.4699999999999988,0.4900000000000002
1979-09-01,74.4,11.879699248120312,0.9497964721845388,80.9,13.94366197183099,1.633165829145744,5.9,-1.6666666666666607,-1.6666666666666607,90327.0,3.0883007498202497,0.0299003322259183,11.43,10.94,13.77,0.4900000000000002,2.34
1979-10-01,75.2,12.071535022354718,1.0752688172043,82.1,14.345403899721454,1.4833127317676054,6.0,3.4482758620689724,1.6949152542372836,90481.0,2.870753558597472,0.1704916580867355,13.77,11.43,13.18,2.34,-0.5899999999999999
1979-11-01,76.0,12.5925925925926,1.0638297872340496,82.6,14.563106796116498,0.6090133982947554,5.9,0.0,-1.6666666666666607,90573.0,2.46857711757984,0.1016788054950756,13.18,13.77,13.78,-0.5899999999999999,0.5999999999999996
1979-12-01,76.9,13.254786450662737,1.1842105263157876,83.4,14.71801925722147,0.9685230024213176,6.0,0.0,1.6949152542372836,90672.0,2.256656629563225,0.1093040972475201,13.78,13.18,13.82,0.5999999999999996,0.0400000000000009
1980-01-01,78.0,13.868613138686126,1.4304291287386084,85.2,15.44715447154472,2.1582733812949506,6.3,6.779661016949135,5.000000000000004,90800.0,2.2430411674623896,0.1411681665784314,13.82,13.78,14.13,0.0400000000000009,0.3100000000000005
1980-02-01,79.0,14.161849710982644,1.2820512820512775,86.9,16.021361815754332,1.9953051643192496,6.3,6.779661016949135,0.0,90883.0,2.052664083993028,0.0914096916299511,14.13,13.82,17.19,0.3100000000000005,3.0600000000000005
1980-03-01,80.1,14.592274678111572,1.3924050632911245,87.5,15.435356200527718,0.690448791714604,6.3,8.62068965517242,0.0,90994.0,1.6931347019971232,0.1221350527601528,17.19,14.13,17.61,3.0600000000000005,0.4199999999999981
