date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PCE,PCE_yoy,PCE_mom,corePCE,corePCE_yoy,corePCE_mom,PPI,PPI_yoy,PPI_mom,PPIfd,PPIfd_yoy,PPIfd_mom,corePPIfd,corePPIfd_yoy,corePPIfd_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,AHE,AHE_yoy,AHE_mom,job openings,job openings_yoy,job openings_mom,GDP,GDP_yoy,GDP_mom,retail,retail_yoy,retail_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment,consumer sentiment_yoy,consumer sentiment_mom,initial claims,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
1980-08-01,83.2,12.890094979647216,0.7263922518159882,81.3,11.82943603851443,0.6188118811881083,1763.8,9.173062639267137,0.955869726976144,39.351,10.614195361911438,0.8327781479013918,91.5,14.949748743718594,1.3289036544850585,,,,,,,7.7,28.333333333333343,-1.2820512820512775,90099.0,-0.22259136212624542,0.288290293855753,,,,,,,,,,,,,48.6456,-5.295741524516306,0.3194426972594755,99.18262,-0.6192844196336478,0.5239614800084835,67.3,4.341085271317824,8.02568218298556,528200.0,3805200.0,9.61,9.03,10.87,0.5800000000000001,1.2599999999999998
1980-09-01,83.9,12.768817204301076,0.8413461538461675,82.1,12.005457025920862,0.9840098400983877,1780.5,8.97239733153803,0.946819367275209,39.715,10.660648109448578,0.9250082590023245,91.7,13.349814585908515,0.21857923497268228,,,,,,,7.5,27.118644067796605,-2.5974025974025983,90213.0,-0.12620811053173364,0.1265274864315824,,,,,,,,,,,,,49.4578,-3.7079725791095752,1.669626852171624,99.6339,0.053424006860769424,0.4549990714098895,73.7,10.494752623688154,9.509658246656771,482750.0,3693500.0,10.87,9.61,12.81,1.2599999999999998,1.9400000000000013
1980-10-01,84.7,12.632978723404253,0.9535160905840279,83.0,12.162162162162172,1.0962241169305775,1817.1,10.690789473684204,2.0556023588879535,40.033,10.643413852191696,0.8007050232909485,92.8,13.03288672350793,1.1995637949836269,,,,,,,7.5,25.0,0.0,90490.0,0.00994683966799581,0.3070510901976409,,,,,,,7.7,670.0,-1639.9999999999998,,,,50.0861,-3.1544448204186226,1.2703759568763795,99.9305,0.5864645700470961,0.2976898425134378,75.0,20.772946859903385,1.7639077340569909,438000.0,3556250.0,12.81,10.87,15.85,1.9400000000000013,3.039999999999999
1980-11-01,85.6,12.631578947368416,1.0625737898465104,83.9,12.165775401069535,1.0843373493975905,1826.8,10.227478428769675,0.533817621484789,40.359,10.775944885131628,0.8143281792521107,93.2,12.832929782082324,0.4310344827586299,,,,,,,7.5,27.118644067796605,0.0,90747.0,0.19211023152594375,0.28400928279368465,,,,,,,,,,,,,50.9209,-1.3812577347140587,1.666729891127483,100.0492,0.957840758393691,0.11878255387494097,76.7,21.169036334913116,2.2666666666666613,412600.0,3300600.0,15.85,12.81,18.9,3.039999999999999,3.049999999999999
1980-12-01,86.4,12.353706111833551,0.9345794392523477,84.9,12.153236459709383,1.1918951132300348,1851.7,11.12644781852008,1.3630391942194064,40.621,10.566428046490127,0.6491736663445602,93.8,12.470023980815338,0.6437768240343367,,,,,,,7.2,19.999999999999996,-3.9999999999999925,90943.0,0.29887947767779366,0.21598510143585603,,,,,,,,,,,,,51.257,-0.79815132360741,0.6600433220936619,100.0306,1.2013785076796513,-0.018590853300171073,64.5,5.737704918032782,-15.90612777053455,410000.0,3125500.0,18.9,15.85,19.08,3.049999999999999,0.17999999999999972
1981-01-01,87.2,11.794871794871797,0.92592592592593,85.4,11.342894393741854,0.5889281507656108,1870.0,10.17498379779651,0.9882810390452024,41.011,10.470315698739352,0.9600945323847254,95.2,11.737089201877925,1.4925373134328401,,,,,,,7.5,19.047619047619047,4.166666666666674,91033.0,0.2566079295154289,0.09896308676864418,,,,,,,8.1,523.076923076923,5.1948051948051965,,,,50.9328,-1.9467118435237962,-0.6324989757496513,99.94303000000001,1.3841962107157268,-0.08754321177719682,71.4,6.567164179104479,10.697674418604652,413000.0,3038200.0,19.08,18.9,15.93,0.17999999999999972,-3.1499999999999986
1981-02-01,88.0,11.392405063291132,0.917431192660545,85.9,10.838709677419356,0.5854800936768045,1884.2,10.744093099800157,0.7593582887700512,41.426,10.392794329265032,1.011923630245537,96.1,10.58688147295741,0.9453781512605008,,,,,,,7.4,17.460317460317466,-1.3333333333333308,91105.0,0.2442701055202834,0.07909219733504003,,,,,,,,,,,,,50.7237,-2.385529787369156,-0.4105409480727573,99.8328,1.5687521708529273,-0.11029283382743005,66.9,0.0,-6.302521008403361,428750.0,2978000.0,15.93,19.08,14.7,-3.1499999999999986,-1.2300000000000004
1981-03-01,88.6,10.611735330836458,0.6818181818181834,86.4,9.92366412213741,0.5820721769499437,1902.9,11.397962767825787,0.9924636450483026,41.715,9.813883697054248,0.6976295080384443,97.0,10.857142857142854,0.9365244536940764,,,,,,,7.4,17.460317460317466,0.0,91210.0,0.2373782886783804,0.11525163273147232,,,,,,,,,,,,,50.9806,-1.4780057744263164,0.5064693624479366,99.72244,1.7407423240008324,-0.11054483095735979,66.5,17.699115044247794,-0.5979073243647326,407500.0,2899250.0,14.7,15.93,15.72,-1.2300000000000004,1.0200000000000014
1981-04-01,89.1,10.135970333745359,0.5643340857787837,87.0,9.433962264150942,0.694444444444442,1904.4,12.340726757904674,0.07882705344475216,41.897,9.721094670682184,0.43629389907706706,98.0,11.617312072892938,1.0309278350515427,,,,,,,7.2,4.347826086956519,-2.7027027027027084,91283.0,0.4777157701240542,0.08003508387237623,,,,,,,-2.9,-63.74999999999999,-135.80246913580248,,,,50.7661,0.09148319094947066,-0.4207482846416144,99.58408,1.7572796952679104,-0.13874510090207126,72.4,37.38140417457305,8.872180451127832,410250.0,2857000.0,15.72,14.7,18.52,1.0200000000000014,2.799999999999999
1981-05-01,89.7,9.79192166462668,0.6734006734006925,87.8,9.612983770287142,0.9195402298850519,1913.8,12.569848832421627,0.49359378281872424,42.085,9.362818980302489,0.44871947872162643,98.3,11.325028312570783,0.3061224489795844,,,,,,,7.5,0.0,4.166666666666674,91296.0,0.9688122096881191,0.014241425018890475,,,,,,,,,,,,,51.0552,3.190599192345478,0.5694745115342625,99.39135,1.5052682653129201,-0.19353495056639858,76.3,47.58220502901354,5.386740331491691,416400.0,2904000.0,18.52,15.72,19.1,2.799999999999999,0.5800000000000018
