date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,Nonfarm,industrial production,interest rate,previous interest rate,next interest rate,previous change,present change
1980-03-01,80.1,14.592274678111572,1.3924050632911245,78.6,12.60744985673352,1.4193548387096744,87.5,15.435356200527718,90994.0,51.7454,17.19,14.13,17.61,3.0600000000000005,0.4199999999999981
1980-04-01,80.9,14.589235127478762,0.998751560549338,79.5,13.086770981507833,1.1450381679389388,87.8,14.174252275682695,90849.0,50.7197,17.61,17.19,10.98,0.4199999999999981,-6.629999999999999
1980-05-01,81.7,14.425770308123242,0.9888751545117368,80.1,13.13559322033897,0.7547169811320753,88.3,13.935483870967747,90420.0,49.4766,10.98,17.61,9.47,-6.629999999999999,-1.5099999999999998
1980-06-01,82.5,14.265927977839322,0.9791921664626724,81.0,13.604488078541376,1.1235955056179805,88.7,13.717948717948714,90101.0,48.8383,9.47,10.98,9.03,-1.5099999999999998,-0.4400000000000013
1980-07-01,82.6,13.15068493150684,0.1212121212121219,80.8,12.37830319888733,-0.2469135802469213,90.3,14.015151515151514,89840.0,48.4907,9.03,9.47,9.61,-0.4400000000000013,0.5800000000000001
1980-08-01,83.2,12.890094979647216,0.7263922518159882,81.3,11.82943603851443,0.6188118811881083,91.5,14.949748743718594,90099.0,48.6456,9.61,9.03,10.87,0.5800000000000001,1.2599999999999998
1980-09-01,83.9,12.768817204301076,0.8413461538461675,82.1,12.005457025920862,0.9840098400983875,91.7,13.349814585908517,90213.0,49.4578,10.87,9.61,12.81,1.2599999999999998,1.9400000000000013
1980-10-01,84.7,12.632978723404252,0.953516090584028,83.0,12.162162162162172,1.0962241169305775,92.8,13.03288672350793,90490.0,50.0861,12.81,10.87,15.85,1.9400000000000013,3.039999999999999
1980-11-01,85.6,12.631578947368416,1.0625737898465104,83.9,12.165775401069537,1.0843373493975903,93.2,12.832929782082324,90747.0,50.9209,15.85,12.81,18.9,3.039999999999999,3.049999999999999
1980-12-01,86.4,12.353706111833551,0.9345794392523477,84.9,12.153236459709383,1.1918951132300348,93.8,12.470023980815338,90943.0,51.257,18.9,15.85,19.08,3.049999999999999,0.1799999999999997
1981-01-01,87.2,11.794871794871796,0.92592592592593,85.4,11.342894393741854,0.5889281507656108,95.2,11.737089201877923,91033.0,50.9328,19.08,18.9,15.93,0.1799999999999997,-3.1499999999999986
1981-02-01,88.0,11.392405063291132,0.917431192660545,85.9,10.838709677419356,0.5854800936768045,96.1,10.58688147295741,91105.0,50.7237,15.93,19.08,14.7,-3.1499999999999986,-1.2300000000000004
1981-03-01,88.6,10.611735330836458,0.6818181818181834,86.4,9.92366412213741,0.5820721769499437,97.0,10.857142857142854,91210.0,50.9806,14.7,15.93,15.72,-1.2300000000000004,1.0200000000000014
1981-04-01,89.1,10.13597033374536,0.5643340857787837,87.0,9.433962264150942,0.694444444444442,98.0,11.617312072892938,91283.0,50.7661,15.72,14.7,18.52,1.0200000000000014,2.799999999999999
1981-05-01,89.7,9.79192166462668,0.6734006734006925,87.8,9.612983770287142,0.919540229885052,98.3,11.325028312570783,91296.0,51.0552,18.52,15.72,19.1,2.799999999999999,0.5800000000000018
1981-06-01,90.5,9.696969696969692,0.8918617614269708,88.6,9.3827160493827,0.9111617312072884,98.5,11.048478015783548,91490.0,51.3214,19.1,18.52,19.04,0.5800000000000018,-0.0600000000000022
1981-07-01,91.5,10.774818401937058,1.104972375690605,89.8,11.138613861386148,1.3544018058690763,99.0,9.63455149501662,91601.0,51.6555,19.04,19.1,17.82,-0.0600000000000022,-1.2199999999999989
1981-08-01,92.2,10.817307692307686,0.7650273224043769,90.7,11.56211562115621,1.0022271714922093,99.0,8.196721311475418,91565.0,51.5903,17.82,19.04,15.87,-1.2199999999999989,-1.950000000000001
1981-09-01,93.1,10.96543504171632,0.9761388286333884,91.8,11.814859926918398,1.2127894156560126,98.8,7.742639040348953,91477.0,51.3429,15.87,17.82,15.08,-1.950000000000001,-0.7899999999999991
1981-10-01,93.4,10.271546635182991,0.3222341568206444,92.1,10.96385542168674,0.3267973856209138,98.9,6.573275862068972,91380.0,50.9463,15.08,15.87,13.31,-0.7899999999999991,-1.7699999999999996
1981-11-01,93.8,9.579439252336464,0.4282655246252487,92.5,10.2502979737783,0.4343105320304019,98.8,6.008583690987113,91171.0,50.3546,13.31,15.08,12.37,-1.7699999999999996,-0.9400000000000012
1981-12-01,94.1,8.912037037037024,0.3198294243070387,93.0,9.540636042402827,0.540540540540535,98.8,5.330490405117261,90895.0,49.8086,12.37,13.31,13.22,-0.9400000000000012,0.8500000000000014
1982-01-01,94.4,8.25688073394495,0.3188097768331621,93.3,9.250585480093676,0.3225806451612856,99.7,4.726890756302526,90565.0,48.7877,13.22,12.37,14.78,0.8500000000000014,1.5599999999999987
1982-02-01,94.7,7.613636363636367,0.3177966101694851,93.8,9.196740395809066,0.5359056806002238,99.8,3.8501560874089513,90563.0,49.7839,14.78,13.22,14.68,1.5599999999999987,-0.0999999999999996
1982-03-01,94.7,6.884875846501148,0.0,93.9,8.680555555555557,0.1066098081023536,99.6,2.680412371134011,90434.0,49.4477,14.68,14.78,14.94,-0.0999999999999996,0.2599999999999998
1982-04-01,95.0,6.621773288439958,0.316789862724387,94.7,8.850574712643677,0.8519701810436597,99.6,1.6326530612244872,90150.0,48.9913,14.94,14.68,14.45,0.2599999999999998,-0.4900000000000002
1982-05-01,95.9,6.911928651059096,0.94736842105263,95.4,8.656036446469262,0.7391763463569179,99.8,1.5259409969481164,90107.0,48.6669,14.45,14.94,14.15,-0.4900000000000002,-0.2999999999999989
1982-06-01,97.0,7.182320441988943,1.147028154327412,96.1,8.465011286681712,0.7337526205450695,100.0,1.522842639593902,89865.0,48.5415,14.15,14.45,12.59,-0.2999999999999989,-1.5600000000000005
1982-07-01,97.5,6.557377049180335,0.5154639175257714,96.7,7.683741648106901,0.624349635796051,100.4,1.4141414141414232,89521.0,48.3775,12.59,14.15,10.12,-1.5600000000000005,-2.4700000000000006
1982-08-01,97.7,5.965292841648595,0.2051282051282132,97.1,7.056229327453134,0.4136504653567741,100.3,1.3131313131313105,89363.0,47.9382,10.12,12.59,10.31,-2.4700000000000006,0.1900000000000012
1982-09-01,97.7,4.940923737916236,0.0,97.2,5.882352941176472,0.1029866117404854,100.0,1.2145748987854257,89183.0,47.8139,10.31,10.12,9.71,0.1900000000000012,-0.5999999999999996
1982-10-01,98.1,5.032119914346889,0.4094165813715467,97.5,5.863192182410426,0.3086419753086433,100.2,1.3144590495449917,88907.0,47.3575,9.71,10.31,9.2,-0.5999999999999996,-0.5100000000000016
1982-11-01,98.0,4.47761194029852,-0.1019367991844988,97.3,5.189189189189181,-0.2051282051282132,100.3,1.5182186234817818,88786.0,47.2078,9.2,9.71,8.95,-0.5100000000000016,-0.25
1982-12-01,97.7,3.825717321997879,-0.3061224489795844,97.2,4.516129032258065,-0.1027749229188024,100.5,1.72064777327936,88771.0,46.8713,8.95,9.2,8.68,-0.25,-0.2699999999999996
1983-01-01,97.9,3.7076271186440746,0.2047082906857733,97.6,4.608788853161849,0.411522633744843,100.2,0.5015045135406293,88990.0,47.7398,8.68,8.95,8.51,-0.2699999999999996,-0.1699999999999999
1983-02-01,98.0,3.484688489968324,0.1021450459652628,98.0,4.47761194029852,0.4098360655737654,100.5,0.7014028056112176,88917.0,47.4484,8.51,8.68,8.77,-0.1699999999999999,0.2599999999999998
1983-03-01,98.1,3.590285110876445,0.1020408163265207,98.2,4.579339723109688,0.2040816326530636,100.4,0.8032128514056325,89090.0,47.8426,8.77,8.51,8.8,0.2599999999999998,0.0300000000000011
