date,CPI,CPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,interest rate,interest rate fluctuation,year,previous interest rate
2001-02-01,176.0,0.2277904328018332,137.4,5.855161787365182,-1.8571428571428568,4.2,132786.0,1.2705918242831071,0.0655619107905902,91.2851,-0.4790432218218732,-0.6591519499231646,5.49,-0.4900000000000002,2001,5.98
2001-03-01,176.1,0.0568181818181745,135.9,3.8990825688073327,-1.091703056768556,4.3,132751.0,0.8715540561077262,-0.0263582004126905,91.0585,-1.112583212970908,-0.2482332823209976,5.31,-0.1800000000000006,2001,5.49
2001-04-01,176.4,0.1703577512776943,136.4,4.361132364192821,0.3679175864606421,4.4,132455.0,0.4337177649886614,-0.2229738382385049,90.7384,-2.080053180296093,-0.3515322567360535,4.8,-0.5099999999999998,2001,5.31
2001-05-01,177.3,0.5102040816326481,136.8,3.951367781155035,0.2932551319648091,4.3,132411.0,0.2308752062737395,-0.0332188290362744,90.2607,-2.877289107297931,-0.526458478439118,4.21,-0.5899999999999999,2001,4.8
2001-06-01,177.7,0.2256063169768563,135.5,1.2705530642750371,-0.9502923976608236,4.5,132296.0,0.1787066484931099,-0.0868507903421966,89.7811,-3.463051252771465,-0.5313497457919203,3.97,-0.2399999999999997,2001,4.21
2001-07-01,177.4,-0.1688238604389269,133.4,-0.2243829468960179,-1.5498154981549828,4.6,132173.0,-0.0415948210666372,-0.0929733325270576,89.2352,-3.880013744475541,-0.6080344304090657,3.77,-0.2000000000000001,2001,3.97
2001-08-01,177.4,0.0,133.4,0.3762227238525151,0.0,4.9,132024.0,-0.1565442294166996,-0.1127310418920668,89.157,-3.708783791081205,-0.0876335795739868,3.65,-0.1200000000000001,2001,3.77
2001-09-01,178.1,0.3945885005636862,133.3,-1.0393466963622644,-0.0749625187406288,5.0,131765.0,-0.4472751724502677,-0.1961764527661613,88.6749,-4.632904830683559,-0.5407315185571582,3.07,-0.5800000000000001,2001,3.65
2001-10-01,177.6,-0.2807411566535633,130.3,-3.766617429837516,-2.2505626406601698,5.3,131452.0,-0.6800048355899424,-0.2375441126247435,88.4051,-4.571351468048357,-0.3042574618071114,2.49,-0.5799999999999996,2001,3.07
2001-11-01,177.5,-0.0563063063063085,129.8,-3.85185185185184,-0.3837298541826572,5.5,131141.0,-1.0652342836450337,-0.2365882603535873,87.886,-5.1525786635930775,-0.5871833186094522,2.09,-0.4000000000000003,2001,2.49
2001-12-01,177.4,-0.0563380281690117,128.1,-5.947136563876654,-1.3097072419106404,5.7,130984.0,-1.306529634262121,-0.1197184709587406,87.8518,-4.86638793143589,-0.0389140477436655,1.82,-0.2699999999999998,2001,2.09
2002-01-01,177.7,0.1691093573844337,128.5,-8.214285714285719,0.3122560499609683,5.7,130853.0,-1.3911182450508264,-0.1000122152323923,88.4634,-3.729861966595138,0.6961724176397066,1.73,-0.09,2002,1.82
2002-02-01,178.0,0.1688238604389491,128.4,-6.550218340611358,-0.0778210116731514,5.7,130732.0,-1.5468498185049584,-0.0924701764575486,88.4578,-3.097219590053568,-0.0063303015710336,1.74,0.01,2002,1.73
2002-03-01,178.5,0.2808988764045006,129.8,-4.488594554819714,1.0903426791277315,5.7,130720.0,-1.5299319779135343,-0.0091790839274241,89.1265,-2.1217129647424504,0.7559536863905647,1.73,-0.01,2002,1.74
2002-04-01,179.3,0.4481792717086819,130.8,-4.105571847507328,0.7704160246533087,5.9,130616.0,-1.388396059038921,-0.0795593635250946,89.5507,-1.308927642541624,0.4759527188883394,1.75,0.02,2002,1.73
2002-05-01,179.5,0.1115448968209698,130.8,-4.385964912280704,0.0,5.8,130632.0,-1.3435439653805226,0.0122496478226263,89.9348,-0.361065225507895,0.4289190369254347,1.75,0.0,2002,1.75
2002-06-01,179.6,0.0557103064066755,130.9,-3.394833948339482,0.0764525993883769,5.8,130682.0,-1.2199915341355785,0.0382754608365454,90.6736,0.9940845010809608,0.8214840084149744,1.75,0.0,2002,1.75
2002-07-01,180.0,0.222717149220486,131.2,-1.6491754122938684,0.2291825821237436,5.8,130585.0,-1.2014556679503352,-0.0742259836855829,90.6436,1.578300939539545,-0.0330857052107669,1.73,-0.02,2002,1.75
2002-08-01,180.5,0.2777777777777768,131.5,-1.4242878560719707,0.2286585365853799,5.7,130587.0,-1.088438465733499,0.0015315694758211,90.5505,1.5629731821393822,-0.1027099541501042,1.74,0.01,2002,1.73
2002-09-01,180.8,0.1662049861495873,132.3,-0.750187546886727,0.6083650190114254,5.7,130498.0,-0.9615603536599292,-0.0681537978512447,90.6373,2.213027587287941,0.0958581123240653,1.75,0.01,2002,1.74
2002-10-01,181.2,0.221238938053081,133.2,2.225633154259388,0.680272108843516,5.7,130621.0,-0.6321699175364404,0.0942543180738386,90.3988,2.255186635160178,-0.2631366997913664,1.75,0.0,2002,1.75
2002-11-01,181.5,0.16556291390728,133.1,2.542372881355925,-0.0750750750750706,5.9,130617.0,-0.3995699285501919,-0.0030622947305603,90.8947,3.423412147554794,0.5485692287950705,1.34,-0.4099999999999999,2002,1.75
2002-12-01,181.8,0.1652892561983643,132.9,3.74707259953162,-0.1502629601803029,6.0,130469.0,-0.3931777927075108,-0.1133083748669827,90.3906,2.889866798403684,-0.5545977928306023,1.24,-0.1,2002,1.34
