date,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,interest rate
2005-07-01,5.0,-9.090909090909092,0.0,134297.0,1.8558968524838848,0.2672858540081702,3.26
2005-08-01,4.9,-9.259259259259256,-1.999999999999991,134495.0,1.9395767644918795,0.1474344177457398,3.5
2005-09-01,5.0,-7.407407407407418,2.0408163265306145,134552.0,1.8692791653732943,0.0423807576489743,3.62
2005-10-01,5.0,-9.090909090909092,0.0,134646.0,1.6694982444217965,0.0698614661989394,3.78
2005-11-01,5.0,-7.407407407407418,0.0,135001.0,1.880626976280864,0.2636543231882227,4.0
2005-12-01,4.9,-9.259259259259256,-1.999999999999991,135160.0,1.9052573643060235,0.1177769053562594,4.16
2006-01-01,4.7,-11.32075471698113,-4.081632653061229,135425.0,1.992785003652675,0.1960639242379436,4.29
2006-02-01,4.8,-11.111111111111116,2.127659574468077,135732.0,2.028819916862723,0.226693741923567,4.49
2006-03-01,4.7,-9.615384615384617,-2.083333333333326,136041.0,2.1681661835168287,0.2276544956237192,4.59
2006-04-01,4.7,-9.615384615384617,0.0,136210.0,2.018499794030637,0.1242272550187051,4.79
2006-05-01,4.6,-9.80392156862745,-2.1276595744680997,136247.0,1.9149206729150992,0.027163938036856,4.94
2006-06-01,4.6,-8.000000000000007,0.0,136328.0,1.7836477799595407,0.0594508502939516,4.99
2006-07-01,4.7,-5.999999999999995,2.1739130434782705,136522.0,1.6567756539610068,0.1423038554075439,5.24
2006-08-01,4.7,-4.081632653061229,0.0,136688.0,1.6305438863898347,0.1215921243462592,5.25
2006-09-01,4.5,-9.999999999999998,-4.255319148936176,136825.0,1.6893097092573806,0.1002282570525592,5.25
2006-10-01,4.4,-11.99999999999999,-2.2222222222222143,136849.0,1.636142180235578,0.0175406541202294,5.25
2006-11-01,4.5,-9.999999999999998,2.2727272727272707,137068.0,1.5310997696313278,0.1600303984683915,5.25
2006-12-01,4.4,-10.20408163265306,-2.2222222222222143,137251.0,1.5470553418171162,0.1335103744126931,5.24
2007-01-01,4.6,-2.1276595744680997,4.545454545454519,137475.0,1.513752999815399,0.1632046396747632,5.25
2007-02-01,4.5,-6.25,-2.1739130434782483,137556.0,1.3438245955264885,0.0589198036006655,5.26
