date,CPI_yoy,coreCPI_yoy,corePCE_yoy,unemployment,continued claims,interest rate,previous interest rate,next interest rate,previous change,present change
2004-10-01,3.1909140075716547,2.0103092783505083,2.700011489410592,5.5,2778000.0,1.76,1.61,1.93,0.1499999999999999,0.1699999999999999
2004-11-01,3.621621621621607,2.216494845360839,2.9656262749897966,5.4,2734500.0,1.93,1.76,2.16,0.1699999999999999,0.2300000000000002
2004-12-01,3.3423180592991875,2.2657054582904346,2.7937154125055708,5.4,2719000.0,2.16,1.93,2.28,0.2300000000000002,0.1199999999999996
2005-01-01,2.8448738593666034,2.261048304213764,2.53203056685547,5.3,2723800.0,2.28,2.16,2.5,0.1199999999999996,0.2200000000000002
2005-02-01,3.0530262453133394,2.308876346844535,2.598732880610055,5.4,2686500.0,2.5,2.28,2.63,0.2200000000000002,0.1299999999999999
2005-03-01,3.2068412613575736,2.35294117647058,2.747509438250484,5.2,2659500.0,2.63,2.5,2.79,0.1299999999999999,0.1600000000000001
2005-04-01,3.3617929562433257,2.1949974476773715,2.844503818718014,5.2,2604400.0,2.79,2.63,3.0,0.1600000000000001,0.2099999999999999
2005-05-01,2.869287991498415,2.1916411824668858,2.568966383598825,5.1,2586250.0,3.0,2.79,3.04,0.2099999999999999,0.04
2005-06-01,2.541026998411855,2.0345879959308144,2.3411957760769653,5.0,2600000.0,3.04,3.0,3.26,0.04,0.2199999999999997
2005-07-01,3.067160232681121,2.083333333333326,2.679431825292533,5.0,2595200.0,3.26,3.04,3.5,0.2199999999999997,0.2400000000000002
2005-08-01,3.646934460887952,2.133062468257996,3.0408025417156592,4.9,2580750.0,3.5,3.26,3.62,0.2400000000000002,0.1200000000000001
2005-09-01,4.741833508956805,1.924050632911389,3.830020972735437,5.0,2716500.0,3.62,3.5,3.78,0.1200000000000001,0.1599999999999997
2005-10-01,4.350104821802936,2.071753410813537,3.551362370723954,5.0,2803400.0,3.78,3.62,4.0,0.1599999999999997,0.2200000000000002
2005-12-01,3.338549817423053,2.114803625377659,2.8836276778752667,4.9,2639400.0,4.16,4.0,4.29,0.1600000000000001,0.1299999999999999
2006-02-01,3.63825363825363,2.106318956870612,3.0222353695212645,4.8,2507250.0,4.49,4.29,4.59,0.2000000000000001,0.0999999999999996
2006-03-01,3.4179181771103018,2.0989505247376306,2.9136712749615823,4.7,2455500.0,4.59,4.49,4.79,0.0999999999999996,0.2000000000000001
2006-04-01,3.613835828600931,2.29770229770232,3.102827101944805,4.7,2401000.0,4.79,4.59,4.94,0.2000000000000001,0.1500000000000003
2006-05-01,3.977272727272729,2.44389027431422,3.321534862643749,4.6,2383750.0,4.94,4.79,4.99,0.1500000000000003,0.0499999999999998
2006-06-01,4.1817243159525175,2.6420737786640114,3.511627906976744,4.6,2408500.0,4.99,4.94,5.24,0.0499999999999998,0.25
2006-07-01,4.104669061056954,2.6879044300647026,3.4273456353752785,4.7,2449400.0,5.24,4.99,5.25,0.25,0.0099999999999997
2006-08-01,3.926568077511483,2.83441074092492,3.335882588586636,4.7,2466250.0,5.25,5.24,5.25,0.0099999999999997,0.0
2006-09-01,2.012072434607637,2.930948832588176,2.0800269321406217,4.5,2446200.0,5.25,5.25,5.25,0.0,0.0
2006-11-01,1.9687026754164672,2.6172839506172885,1.9246731063020883,4.5,2476000.0,5.25,5.25,5.24,0.0,-0.0099999999999997
2007-01-01,2.075765178123423,2.657480314960625,2.133263102449301,4.6,2524250.0,5.25,5.24,5.26,0.0099999999999997,0.0099999999999997
2007-03-01,2.798197295943927,2.5051395007342103,2.564898622023759,4.4,2519000.0,5.26,5.26,5.25,0.0,-0.0099999999999997
2007-04-01,2.5929247633283525,2.4155273437499902,2.3307779164438047,4.5,2496000.0,5.25,5.26,5.25,-0.0099999999999997,0.0
2007-05-01,2.709885742672613,2.267770204479058,2.352983013477794,4.4,2447750.0,5.25,5.25,5.25,0.0,0.0
2007-06-01,2.692765113974227,2.181641573579407,2.3176341212501006,4.6,2482000.0,5.25,5.25,5.26,0.0,0.0099999999999997
2007-07-01,2.317890586495808,2.1682016480853106,2.1247260128685497,4.7,2542250.0,5.26,5.25,5.02,0.0099999999999997,-0.2400000000000002
2007-08-01,1.897448478900876,2.088491295938089,1.873715124816444,4.6,2553000.0,5.02,5.26,4.94,-0.2400000000000002,-0.0799999999999991
2007-09-01,2.8338264299802685,2.101351351351366,2.534687050952855,4.7,2537200.0,4.94,5.02,4.76,-0.0799999999999991,-0.1800000000000006
